代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
603499,翔港科技,C23印刷和记录媒介复制业,2025-08-05,3.28,4.98,16.45,1.8,True,2,16,21.4,48.8,5.77
603500,祥和实业,C37铁路、船舶、航空航天和其他运输设备制造业,2025-08-11,5.62,2.3,11.11,6.67,True,2,12,4.86,39.99,3.73
603507,振江股份,C38电气机械和器材制造业,2025-07-31,4.64,3.53,24.34,6.0,True,2,19,20.17,36.75,1.8
603583,捷昌驱动,C38电气机械和器材制造业,2025-07-31,5.22,6.95,37.7,15.45,True,2,19,4.19,44.32,3.24
603598,引力传媒,L72商务服务业,2025-07-30,3.0,2.6,18.54,4.68,True,2,20,-2.86,-267.5,25.89
603601,再升科技,C30非金属矿物制品业,2025-08-14,3.66,2.81,4.76,5.66,True,2,9,25.0,52.89,2.3
603606,东方电缆,C38电气机械和器材制造业,2025-08-13,3.23,3.21,51.05,11.8,True,2,10,0.59,34.23,4.81
603648,畅联股份,L72商务服务业,2025-07-30,4.77,3.59,11.26,2.54,True,2,20,-1.75,34.29,2.23
603657,春光科技,C29橡胶和塑料制品业,2025-08-12,3.1,4.89,32.39,2.31,True,3,11,35.91,205.86,4.63
603667,五洲新春,C34通用设备制造业,2025-08-05,3.27,2.09,38.07,21.16,True,2,16,2.52,152.55,4.72
603696,安记食品,C14食品制造业,2025-08-20,3.27,5.32,11.67,3.69,True,2,5,6.94,72.5,4.69
603706,东方环宇,D45燃气生产和供应业,2025-07-30,3.02,3.96,21.28,1.92,True,5,20,0.85,19.57,2.28
603719,良品铺子,F52零售业,2025-08-07,4.5,3.63,13.43,3.44,True,2,14,0.89,-37.21,2.44
603722,阿科力,C26化学原料和化学制品制造业,2025-08-12,3.05,6.87,44.67,2.15,True,2,11,23.53,-166.55,4.62
603727,博迈科,B11开采专业及辅助性活动,2025-08-14,4.07,3.38,14.66,1.24,True,4,9,-2.8,83.12,1.3
603733,仙鹤股份,C22造纸和纸制品业,2025-08-06,3.27,5.96,23.65,2.07,True,2,15,4.36,17.19,2.07
603767,中马传动,C36汽车制造业,2025-08-08,3.17,2.13,29.77,18.18,True,2,13,14.11,378.08,6.41
603823,百合花,C26化学原料和化学制品制造业,2025-08-12,3.51,4.9,13.7,3.42,True,3,11,8.61,31.48,2.37
603829,洛凯股份,C38电气机械和器材制造业,2025-08-05,4.22,6.77,18.93,1.88,True,3,16,-0.26,22.32,2.82
